Date,Open,High,Low,Close,Volume,Market Cap
Oct-05-2020,10788.03,10792.26,10536.78,10604.45,19914334722.34,198030505841.42
Oct-04-2020,10667.06,10784.67,10630.00,10784.67,18073068400.64,198061224066.41
Oct-03-2020,10542.06,10684.27,10524.73,10665.70,15472962156.75,196195661643.79
Oct-02-2020,10570.37,10593.70,10501.49,10541.32,20391901419.67,195151108986.79
Oct-01-2020,10621.71,10662.01,10413.94,10566.49,28608315279.56,194792345004.86
Sep-30-2020,10777.14,10903.29,10472.42,10614.30,23740107473.44,199013390077.45
Sep-29-2020,10840.60,10843.69,10668.74,10766.81,22225613190.09,198798360069.81
Sep-28-2020,10692.35,10855.72,10652.24,10839.96,23902695206.73,198551103778.67
Sep-27-2020,10774.25,10937.01,10699.63,10702.47,22685381479.71,201247059797.86
Sep-26-2020,10729.82,10794.71,10620.56,10766.52,19197868192.36,198230862185.00
Sep-25-2020,10685.95,10769.91,10653.13,10739.74,22140813155.50,198168996917.28
Sep-24-2020,10734.54,10747.71,10567.24,10683.40,27637879181.22,197360295367.15
Sep-23-2020,10233.35,10763.75,10219.33,10731.53,28632863994.68,193160151426.66
Sep-22-2020,10529.28,10530.33,10180.51,10231.05,24341912905.56,192973686929.95
Sep-21-2020,10415.10,10557.44,10365.73,10531.35,31760586510.96,193612405817.50
Sep-20-2020,10920.99,10982.26,10349.49,10427.88,32049045619.89,197524615883.10
Sep-19-2020,11083.43,11083.43,10779.62,10914.69,27984393947.68,201893765074.58
Sep-18-2020,10933.95,11139.97,10892.87,11076.85,29847423554.19,203594887334.85
Sep-17-2020,10939.78,11018.74,10821.37,10916.97,33299227979.83,201992991337.58
Sep-16-2020,10943.45,11036.74,10767.36,10934.42,38373393891.40,201350751779.82
Sep-15-2020,10782.04,11079.29,10675.82,10946.92,38086295936.34,201366679797.46
Sep-14-2020,10671.46,10926.46,10637.49,10783.00,36621455087.99,199132248074.60
Sep-13-2020,10327.10,10737.48,10252.70,10665.11,31933742977.12,194196335567.50
Sep-12-2020,10441.29,10558.52,10218.64,10315.67,28367164217.13,192127881478.10
